"cz","Name","Density_of_Jobs_in_2013"
"cz9302","Toccoa, GA",35.03
"cz13102","Madison, IN & KY",35.01
"cz11800","Mount Pleasant, MI",34.95
"cz22900","La Crosse, MN & WI",34.94
"cz13000","Elizabethtown, KY",34.84
"cz8000","Sumter, SC",34.69
"cz13502","Defiance, OH",34.52
"cz22001","Waterloo, IA",34.42
"cz6302","Cookeville, TN",34.22
"cz20100","Portland, ME",34.17
"cz21301","Mankato, MN",33.51
"cz32100","Beaumont, TX",33.14
"cz1702","Henderson, NC",33.06
"cz10302","Dothan, AL",33.01
"cz601","North Wilkesboro, NC",33
"cz8503","Valdosta, GA",32.91
"cz4002","Shreveport, LA",32.89
"cz13200","Owensboro, KY",32.75
"cz37300","Chico, CA",32.73
"cz15700","Scioto, OH",32.63
"cz15400","Zanesville, OH",32.61
"cz13103","Bardstown, KY",32.43
"cz12502","Washington Court House, OH",32.35
"cz33902","Sherman, OK & TX",32.16
"cz20302","Claremont, NH & VT",32.05
"cz5500","Columbia, TN",31.27
"cz19903","Chincoteague, VA",31.07
"cz25401","Paducah, IL & KY",30.75
"cz30802","Lubbock, TX",30.44
"cz6200","Florence, AL & TN",29.83
"cz22800","Eau Claire, MN & WI",29.69
"cz15800","Athens, OH & WV",29.6
"cz35100","Tucson, AZ",29.52
"cz2900","Hattiesburg, MS",29.2
"cz25601","Carbondale, IL",29.17
"cz30401","Stillwater, OK",29.02
"cz18900","Williamsport, PA",28.79
"cz34901","Albuquerque, NM",28.63
"cz10200","Albany, GA",28.58
"cz31700","Corpus Christi, TX",28.32
"cz4401","London, KY",28.2
"cz10801","Tuscaloosa, AL",28.11
"cz23200","Dubuque, IA & IL",28.05
"cz31401","Midland, TX",27.75
"cz11303","Colonial Beach, VA",27.67
"cz22700","Wausau, WI",27.4
"cz17501","Cumberland, MD & WV",27.11
"cz3600","Alexandria, LA",27.08
"cz29800","Aurora, MO",26.31
"cz17300","Staunton, VA",26.11
"cz29503","St. Joseph, KS & MO",26.05
"cz36800","Medford, OR",26.05
"cz11201","Bluefield, VA & WV",25.96
"cz14802","Vincennes, IL & IN",25.96
"cz12902","Mount Sterling, KY",25.93
"cz10102","Thomasville, GA",25.89
"cz38601","Spokane, ID & WA",25.88
"cz6301","McMinnville, TN",25.68
"cz3901","Monroe, LA",25.64
"cz5000","Tupelo, MS",25.38
"cz23802","Clinton, IA",25.35
"cz25200","Henderson, KY",24.94
"cz25701","Cape Girardeau, MO",24.91
"cz21702","Austin, MN",24.81
"cz8701","Hinesville, GA",24.79
"cz6501","Ellijay, GA",24.25
"cz11203","Big Stone Gap, VA",24.21
"cz25500","Centralia, IL",24.15
"cz33500","Texarkana, AR & TX",24.13
"cz16801","Beckley, WV",24
"cz32601","Wichita Falls, TX",23.99
"cz28001","Sioux City, IA & NE & SD",23.96
"cz5800","Dickson, TN",23.5
"cz25900","Jonesboro, AR",23.39
"cz26801","Fargo, MN & ND",23.36
"cz12302","Petoskey, MI",23.05
"cz6402","Crossville, TN",23.01
"cz21201","Hutchinson, MN",22.98
"cz30903","Amarillo, TX",22.85
"cz1204","Andrews, GA & NC",22.64
"cz1201","Franklin, GA & NC",22.54
"cz1301","Bennettsville, SC",22
"cz3700","Lake Charles, LA",21.91
"cz602","Galax, NC & VA",21.8
"cz23301","Charleston, IL",21.74
"cz301","Middlesborough, KY & TN",21.71
"cz12002","Ludington, MI",21.7
"cz25300","Union City, KY & TN",21.69
"cz9500","Talladega, AL",21.64
"cz33601","Lawton, OK",21.58
"cz30200","Muskogee, OK",21.57
"cz16703","Buckhannon, WV",21.38
"cz23700","Galesburg, IL",21.23
"cz17800","Oneonta, NY",21.19
"cz21900","Marshalltown, IA",21.15
"cz23000","Monroe, WI",21.12
"cz33200","Paris, TX",20.86
"cz4601","Campbellsville, KY",20.79
"cz36000","Provo, UT",20.75
"cz17000","Pikeville, KY & WV",20.73
"cz5100","Corinth, MS & TN",20.7
"cz4602","Somerset, KY & TN",20.67
"cz30100","Fort Smith, AR & OK",20.5
"cz31503","Laredo, TX",20.45
"cz35801","Boise City, ID",20.3
"cz27903","Grand Island, NE",20.26
"cz35600","Hilo, HI",19.96
"cz8702","Statesboro, GA",19.86
"cz4902","Dyersburg, TN",19.85
"cz1202","Sylva, NC",19.5
"cz9002","Milledgeville, GA",19.41
"cz23600","Burlington, IA & IL & MO",19.32
"cz32201","Huntsville, TX",19.13
"cz5402","Glasgow, KY & TN",19.11
"cz39000","Yakima, WA",19.08
"cz21801","Mason City, IA",19.04
"cz18300","Watertown, NY",18.96
"cz29403","Bartlesville, KS & OK",18.88
"cz29602","Eldon, MO",18.78
"cz2600","Roanoke Rapids, NC & VA",18.71
"cz37604","Reno, NV",18.69
"cz18201","Olean, NY & PA",18.64
"cz24600","Farmington, MO",18.61
"cz37901","Las Vegas, AZ & NV",18.52
"cz29203","Manhattan, KS",18.43
"cz25000","Quincy, IL & MO",18.37
"cz4302","Searcy, AR",18.12
"cz25800","Blytheville, AR & MO",18.06
"cz10400","Meridian, MS",18
"cz5201","New Albany, MS",17.84
"cz10502","Starkville, MS",17.81
"cz2100","Washington, NC",17.78
"cz39100","Kennewick, OR & WA",17.65
"cz38700","Longview, OR & WA",17.48
"cz18500","Amsterdam, NY",17.45
"cz22300","Ottumwa, IA",17.44
"cz23302","Douglas, IL",17.37
"cz27201","Sioux Center, IA",17.26
"cz12001","Big Rapids, MI",17.13
"cz21102","Amery, WI",16.96
"cz3102","Brookhaven, MS",16.85
"cz10501","Columbus, AL & MS",16.68
"cz31101","Victoria, TX",16.57
"cz12702","Maysville, KY",16.53
"cz10600","Jasper, AL",16.47
"cz30000","Russellville, AR",16.44
"cz4502","Hazard, KY",16.38
"cz32306","Eagle Pass, TX",16.19
"cz29302","Newton, KS",16.01
"cz4702","Clarksdale, MS",15.98
"cz2200","South Boston, VA",15.96
"cz29104","Salina, KS",15.89
"cz2800","Laurel, MS",15.87
"cz32202","Nacogdoches, TX",15.84
"cz32501","Abilene, TX",15.78
"cz18400","Plattsburgh, NY",15.77
"cz25602","Harrisburg, IL",15.75
"cz34001","Hot Springs, AR",15.62
"cz9003","Dublin, GA",15.59
"cz7700","Lake City, FL",15.45
"cz9001","Vidalia, GA",15.4
"cz4003","Ruston, LA",15.29
"cz33700","Ardmore, OK",15.05
"cz31303","Kerrville, TX",14.89
"cz11102","Troy, AL",14.87
"cz20001","Bangor, ME",14.8
"cz4903","Lexington, TN",14.74
"cz8601","Waycross, GA",14.73
"cz33802","Chickasha, OK",14.71
"cz30403","Okmulgee, OK",14.54
"cz8502","Cordele, GA",14.48
"cz24801","Jacksonville, IL",14.38
"cz5300","West Memphis, AR",14.33
"cz18202","St. Marys, PA",14.28
"cz29005","Hutchinson, KS",14.26
"cz26901","Fergus Falls, MN",14.2
"cz22602","Shawano, WI",14.2
"cz10101","Bainbridge, GA",14.13
"cz31202","Burnet, TX",14.13
"cz29504","Sedalia, MO",13.87
"cz28702","Glenwood Springs, CO",13.84
"cz38902","Newport, OR",13.83
"cz21802","Decorah, IA",13.45
"cz24500","Rolla, MO",13.41
"cz8501","Fitzgerald, GA",13.35
"cz38100","Yuma, AZ & CA",13.34
"cz26002","Duluth, MN & WI",13.3
"cz26902","Little Falls, MN",13.19
"cz36600","Redding, CA",13.17
"cz27402","Fort Dodge, IA",13.05
"cz27504","Carroll, IA",13.04
"cz14801","Olney, IL",12.92
"cz24702","Mexico, MO",12.89
"cz28608","Kearney, NE",12.79
"cz25101","Mountain Home, AR & MO",12.7
"cz27102","Marshall, MN",12.61
"cz3203","Vicksburg, LA & MS",12.59
"cz27901","Hastings, NE",12.52
"cz11202","Welch, WV",12.52
"cz25105","Batesville, AR",12.51
"cz27801","Columbus-Norfolk, NE",12.27
"cz27302","Fairmont, IA & MN",12.27
"cz27401","Storm Lake, IA",12.21
"cz4800","Greenville, MS",12.2
"cz3101","McComb, MS",12.19
"cz38402","Pullman, ID & WA",12.16
"cz34504","Missoula, MT",12.15
"cz35201","Grand Junction, CO",12.13
"cz27301","Spencer, IA",12.09
"cz22002","Iowa Falls, IA",12.08
"cz4701","Greenwood, MS",12.05
"cz25103","Harrison, AR",12.04
"cz20301","Berlin, NH & VT",11.95
"cz8201","Barnwell, SC",11.89
"cz12401","Alpena, MI",11.83
"cz9702","Americus, GA",11.68
"cz29401","Ottawa, KS",11.68
"cz27101","Willmar, MN",11.6
"cz26704","Grand Forks, MN & ND",11.57
"cz38502","Wenatchee, WA",11.56
"cz32802","Corsicana, TX",11.51
"cz25702","Poplar Bluff, MO",11.49
"cz27802","Columbus, NE",11.49
"cz21502","Pine City, MN",11.32
"cz31102","La Grange, TX",11.32
"cz27702","Cheyenne, NE & WY",11.18
"cz39203","Bend, OR",11.17
"cz21101","Rice Lake, WI",11.16
"cz4102","Pine Bluff, AR",11.13
"cz26501","Brookings, SD",11.05
"cz26102","Marshall, MO",10.91
"cz28502","Pueblo, CO",10.78
"cz36301","Pocatello, ID",10.59
"cz12402","Grayling charter, MI",10.57
"cz34802","Santa Fe, NM",10.51
"cz11401","Marquette, MI",10.45
"cz27503","Atlantic, IA",10.44
"cz38501","Moses Lake, WA",10.4
"cz25104","Heber Springs, AR",10.4
"cz8402","Washington, GA",10.04
"cz11402","Marinette, MI & WI",10.03
"cz21004","Rhinelander, WI",9.984
"cz39303","Port Angeles, WA",9.899
"cz4004","Many, LA",9.887
"cz32301","San Angelo, TX",9.81
"cz31302","Beeville, TX",9.768
"cz36200","Logan, ID & UT",9.752
"cz16802","Summersville, WV",9.701
"cz16902","Spencer, WV",9.689
"cz29902","Center, MO",9.643
"cz32702","Stephenville, TX",9.63
"cz26101","Moberly, MO",9.585
"cz4103","El Dorado, AR",9.543
"cz26201","Bismarck, ND",9.53
"cz3202","Natchez, LA & MS",9.526
"cz33901","Ada, OK",9.523
"cz36902","Roseburg, OR",9.515
"cz27202","Worthington, IA & MN",9.451
"cz35300","Farmington, CO & NM",9.433
"cz29402","Emporia, KS",9.379
"cz35901","St. George, UT",9.293
"cz34308","Billings, MT",9.293
"cz36700","Eureka, CA",9.266
"cz21600","Brainerd, MN",9.139
"cz27502","Creston, IA",9.056
"cz4501","West Liberty, KY",8.888
"cz26107","Kirksville, MO",8.767
"cz4001","Magnolia, AR",8.737
"cz16701","Elkins, WV",8.623
"cz33801","Elk City, OK",8.617
"cz4101","Crossett, AR",8.595
"cz11002","Atmore, AL",8.543
"cz26701","Bemidji, MN",8.516
"cz31103","Gonzales, TX",8.466
"cz26106","Centerville, IA",8.463
"cz29006","Hays, KS",8.45
"cz29505","Polk, MO",8.437
"cz27902","York, NE",8.412
"cz29201","Hiawatha, KS",8.386
"cz35701","Twin Falls, ID",8.367
"cz28201","Red Oak, IA",8.309
"cz28102","Nebraska City, NE",8.23
"cz21202","Redwood Falls, MN",8.226
"cz3002","Yazoo City, MS",8.15
"cz3001","Kosciusko, MS",7.923
"cz26504","Watertown, SD",7.92
"cz27005","Yankton, NE & SD",7.917
"cz25102","West Plains, AR & MO",7.855
"cz21002","Houghton, MI",7.85
"cz28701","Salida, CO",7.687
"cz28002","West Point, NE",7.673
"cz3201","Jena, LA",7.651
"cz10301","Eufaula, AL & GA",7.442
"cz26412","Williston, ND",7.211
"cz27006","Mitchell, SD",7.178
"cz3902","Lake Providence, LA",7.17
"cz26104","Trenton, MO",7.136
"cz30901","Clovis, NM & TX",6.989
"cz27601","Rapid City, SD",6.969
"cz30502","Enid, OK",6.942
"cz4301","Stuttgart, AR",6.803
"cz31001","Garden City, KS",6.708
"cz34002","Idabel, AR & OK",6.625
"cz34403","Helena, MT",6.535
"cz26304","Minot, ND",6.407
"cz36901","Crescent City, CA & OR",6.389
"cz26502","Madison, SD",6.383
"cz30908","Plainview, TX",6.375
